Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
476,Karl-Anthony Towns\townska01,C,25,MIN,35,35,34.5,8.7,17.7,.495,2.5,6.1,.402,6.3,11.5,.545,.565,5.0,5.8,.871,2.7,8.3,11.0,4.6,0.7,1.4,3.2,3.6,25.0
477,Gary Trent Jr.\trentga02,SG,22,TOT,52,34,31.4,5.6,13.3,.421,2.9,7.4,.392,2.7,5.9,.458,.530,1.4,1.8,.780,0.4,2.1,2.5,1.5,0.9,0.2,0.8,1.6,15.5
477,Gary Trent Jr.\trentga02,SG,22,POR,41,23,30.8,5.3,12.8,.414,3.0,7.4,.397,2.3,5.3,.438,.530,1.4,1.8,.773,0.5,1.7,2.2,1.4,0.9,0.1,0.8,1.5,15.0
477,Gary Trent Jr.\trentga02,SG,22,TOR,11,11,33.6,6.7,15.2,.443,2.7,7.3,.375,4.0,7.9,.506,.533,1.2,1.5,.813,0.1,3.4,3.5,1.6,0.9,0.2,0.8,1.7,17.4
478,P.J. Tucker\tuckepj01,PF,35,TOT,37,32,27.8,1.4,3.8,.374,0.8,2.5,.323,0.6,1.2,.478,.482,0.5,0.6,.783,1.0,3.3,4.3,1.3,0.8,0.5,0.9,2.5,4.1
478,P.J. Tucker\tuckepj01,PF,35,HOU,32,32,30.0,1.5,4.1,.366,0.8,2.7,.314,0.7,1.4,.467,.469,0.6,0.7,.783,1.0,3.6,4.6,1.4,0.9,0.6,1.0,2.8,4.4
478,P.J. Tucker\tuckepj01,PF,35,MIL,5,0,14.0,0.8,1.6,.500,0.6,1.4,.429,0.2,0.2,1.000,.688,0.0,0.0,,0.8,1.6,2.4,0.6,0.2,0.4,0.0,0.6,2.2
479,Rayjon Tucker\tuckera01,PG,23,PHI,8,0,3.8,0.3,0.6,.400,0.1,0.3,.500,0.1,0.4,.333,.500,1.0,1.0,1.000,0.1,0.6,0.8,0.3,0.0,0.0,0.1,0.4,1.6
480,Myles Turner\turnemy01,C,24,IND,46,46,30.9,4.4,9.2,.482,1.5,4.4,.338,3.0,4.8,.613,.563,2.3,3.0,.787,1.3,5.1,6.4,1.0,0.9,3.5,1.4,3.5,12.7
481,Jonas Valančiūnas\valanjo01,C,28,MEM,49,48,28.1,7.0,12.2,.578,0.3,0.9,.348,6.7,11.2,.597,.591,2.6,3.4,.770,4.2,8.4,12.7,1.8,0.5,0.7,1.7,2.9,17.0
482,Denzel Valentine\valende01,SG,27,CHI,48,3,17.5,2.7,7.0,.382,1.4,4.1,.337,1.3,2.9,.446,.481,0.2,0.2,1.000,0.4,3.1,3.5,1.7,0.5,0.0,0.7,1.1,6.9
483,Jarred Vanderbilt\vandeja01,PF,21,MIN,49,25,17.4,2.1,3.6,.603,0.0,0.1,.250,2.1,3.5,.612,.606,1.0,1.8,.567,1.6,3.8,5.4,1.3,1.0,0.7,1.0,1.9,5.3
484,Fred VanVleet\vanvlfr01,SG,26,TOR,45,45,36.1,6.4,16.4,.391,3.3,8.9,.366,3.1,7.4,.422,.491,3.4,3.9,.885,0.6,3.5,4.2,6.1,1.7,0.8,2.0,2.4,19.5
485,Devin Vassell\vassede01,SF,20,SAS,44,1,16.5,1.8,4.4,.397,0.9,2.2,.392,0.9,2.2,.402,.495,0.7,0.8,.879,0.4,2.3,2.8,0.9,0.8,0.3,0.4,1.4,5.0
486,Gabe Vincent\vincega01,PG,24,MIA,39,6,13.7,1.9,5.0,.376,0.9,3.2,.288,0.9,1.8,.536,.469,0.5,0.6,.870,0.2,0.9,1.1,1.4,0.4,0.1,0.7,1.7,5.2
487,Noah Vonleh\vonleno01,PF,25,BRK,4,0,2.8,0.0,0.8,.000,0.0,0.5,.000,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.5,0.5,0.0
488,Nikola Vučević\vucevni01,C,30,TOT,56,56,33.6,9.7,20.1,.484,2.6,6.3,.415,7.1,13.8,.515,.548,2.1,2.5,.833,2.0,9.4,11.4,3.7,1.0,0.7,1.7,1.9,24.1
